## 2016 Plant Transmission Exp. Videos,,,,,,,,
### Data Entry by: Elizabeth,,,,,,,,
### Samantha Alger & Alex Burnham,,,,,,,,
"### VideoFileName is the file name of the video; PlantSpp is the plant species in the video. Possible values are: BFT, WC, RC, or diversity;",,,,,,,,
"### Experiment possible values are: acute, comingle, diversity, chronic, BeeSpp possible values are BB, HB, or comingle;",,,,,,,,
"### TimeStart is the time stamp for when a bee lands on a flower; TimeEnd is when that bee leaves a flower, TimeForage calculates the total amount of time the bees spent on a flower; Forage is the number of seconds the forager spent on a flower in seconds",,,,,,,,
"### expID is the combined ID of the plant spp. and the experiment and is used to merge data with virus dataframe, chronic 1,2,3 represent for the first, second, and third days of the chronic experiment",,,,,,,,
"### that took place on 8/27, 8/28, and 8/29, NOTE that plants were collected the day after the video was filmed",,,,,,,,
,,,,,,,,
VideoFileName,PlantSpp,Experiment,BeeSpp,TimeStart,TimeEnd,TimeForage,Forage,expID
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:36,0:20:41,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:36,0:20:45,0:00:09,9,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:45,0:20:48,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:45,0:20:47,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:49,0:20:54,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:49,0:21:03,0:00:14,14,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:54,0:21:11,0:00:17,17,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:55,0:21:02,0:00:07,7,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:04,0:21:21,0:00:17,17,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:11,0:21:27,0:00:16,16,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:11,0:21:13,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:14,0:21:24,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:23,0:21:28,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:28,0:21:31,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:29,0:21:33,0:00:04,4,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:34,0:21:37,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:38,0:21:39,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:21:41,0:22:05,0:00:24,24,WC_chronic-2
