Date_collected,ID,site,species,host_plant,date_processed,sample_name,pollen,dil.factor,apiary_near_far
7/15/15,MART27,MART,Vagans,Vicia cracca,11/7/15,103,0,4.191,1
7/15/15,MART20,MART,Vagans,Vicia cracca,11/7/15,104,0,5.107,1
7/15/15,MART23,MART,Vagans,Vicia cracca,11/7/15,105,1,6.6765,1
7/15/15,MART31,MART,Vagans,Vicia cracca,11/7/15,106,1,8.163,1
7/15/15,MART32,MART,Vagans,Vicia cracca,11/8/15,107,1,7.4535,1
7/15/15,MART35,MART,Vagans,Vicia cracca,11/8/15,108,1,5.287,1
7/15/15,MART36,MART,Bimaculatus,Vicia cracca,3/21/16,216,1,6.3535,1
7/15/15,MART30,MART,Bimaculatus,Vicia cracca,3/21/16,218,1,7.1065,1
7/15/15,MART33,MART,Bimaculatus,Vicia cracca,3/21/16,221,1,10.6995,1
7/15/15,MART37,MART,Bimaculatus,Vicia cracca,3/21/16,224,0,9.0425,1
7/15/15,MART29,MART,Bimaculatus,Vicia cracca,3/21/16,226,0,5.552,1
7/15/15,MART18,MART,Bimaculatus,Vicia cracca,3/21/16,230,0,7.795,1
7/15/15,MART21,MART,Bimaculatus,Vicia cracca,3/23/16,233,1,10.2015,1
7/14/15,MART16,MART,Bimaculatus,Vicia cracca,3/23/16,234,0,7.4715,1
7/15/15,MART38,MART,Bimaculatus,Vicia cracca,3/23/16,235,1,7.4395,1
7/15/15,MART39,MART,Bimaculatus,Vicia cracca,3/23/16,236,1,1.749,1
7/28/15,MUDGE10,MUDGE,Vagans,Cornelia varia,12/16/15,158,1,7.015,0
7/28/15,MUDGE15,MUDGE,Vagans,Cornelia varia,12/16/15,159,1,8.2,0
7/28/15,MUDGE17,MUDGE,Vagans,Cornelia varia,12/16/15,162,1,3.9775,0
7/28/15,MUDGE12,MUDGE,Vagans,Cornelia varia,12/16/15,164,1,5.468,0
7/28/15,MUDGE16,MUDGE,Vagans,Cornelia varia,12/16/15,166,1,1.8105,0
7/28/15,MUDGE13,MUDGE,Vagans,Cornelia varia,12/16/15,168,1,6.1585,0
7/28/15,MUDGE9,MUDGE,Vagans,Cornelia varia,12/16/15,169,1,NA,0
7/28/15,MUDGE11,MUDGE,Vagans,Cornelia varia,12/16/15,177,NA,4.8545,0
7/28/15,MUDGE14,MUDGE,Vagans,Cornelia varia,1/22/16,193,1,5.979,0
7/28/15,MUDGE8,MUDGE,Vagans,Cornelia varia,1/22/16,194,1,1.344,0
7/28/15,MUDGE21,MUDGE,Bimaculatus,Cornelia varia,4/25/16,314,1,7.2575,0
7/28/15,MUDGE25,MUDGE,Bimaculatus,Cornelia varia,4/25/16,315,1,0.056,0
7/28/15,MUDGE26,MUDGE,Bimaculatus,Cornelia varia,4/25/16,317,1,5.649,0
7/28/15,MUDGE18,MUDGE,Bimaculatus,Cornelia varia,4/25/16,319,1,6.9555,0
7/28/15,MUDGE27,MUDGE,Bimaculatus,Cornelia varia,4/25/16,323,1,11.526,0
7/28/15,MUDGE22,MUDGE,Bimaculatus,Cornelia varia,4/25/16,329,0,6.7895,0
7/28/15,MUDGE20,MUDGE,Bimaculatus,Cornelia varia,4/25/16,330,1,7.872,0
7/28/15,MUDGE19,MUDGE,Bimaculatus,Cornelia varia,4/27/16,337,1,6.834,0
7/28/15,MUDGE23,MUDGE,Bimaculatus,Cornelia varia,4/27/16,341,1,7.966,0
7/28/15,MUDGE24,MUDGE,Bimaculatus,Cornelia varia,4/27/16,342,1,7.956,0
7/28/15,MUDGE6,MUDGE,Bimaculatus,Cornelia varia,5/18/16,375,NA,5.4725,0
NA,NA,NA,NA,NA,NA,111,NA,NA,NA
8/3/15,NEK8,NEK,Vagans,impatiens capensis,9/29/15,29,NA,2.1125,0
8/3/15,NEK22,NEK,Vagans,Galeopsis tetrahit,11/3/15,58,0,1.725,0
8/3/15,NEK21,NEK,Vagans,Galeopsis tetrahit,11/3/15,59,1,5.5605,0
8/3/15,NEK17,NEK,Vagans,Galeopsis tetrahit,11/3/15,60,0,2.8695,0
8/3/15,NEK20,NEK,Vagans,Galeopsis tetrahit,11/3/15,61,1,6.4025,0
8/3/15,NEK14,NEK,Vagans,Galeopsis tetrahit,11/3/15,62,1,5.7705,0
8/3/15,NEK3,NEK,Vagans,Galeopsis tetrahit,11/7/15,81,0,5.7315,0
8/3/15,NEK4,NEK,Vagans,impatiens capensis,11/7/15,82,1,1.687,0
8/3/15,NEK6,NEK,Vagans,impatiens capensis,11/7/15,83,0,2.443,0
8/3/15,NEK18,NEK,Vagans,Galeopsis tetrahit,11/7/15,99,0,5.021,0
8/3/15,NEK5,NEK,Vagans,impatiens capensis,11/7/15,100,0,4.8495,0
8/3/15,NEK2,NEK,Vagans,Galeopsis tetrahit,11/7/15,101,0,4.797,0
8/3/15,NEK1,NEK,Vagans,Galeopsis tetrahit,11/7/15,102,0,5.5235,0
7/10/15,ONE35,ONE,Vagans,Hypericum perforatum,12/8/15,138,1,6.571,1
7/10/15,ONE24,ONE,Vagans,Hypericum perforatum,12/8/15,139,1,8.748,1
7/10/15,ONE10,ONE,Vagans,Hypericum perforatum,12/8/15,140,0,7.5975,1
7/10/15,ONE11,ONE,Vagans,Hypericum perforatum,12/8/15,144,1,NA,1
7/22/15,ONE49,ONE,Vagans,Solidago,12/8/15,145,0,5.9625,1
7/10/15,ONE43,ONE,Vagans,Hypericum perforatum,12/8/15,147,1,6.67,1
7/10/15,ONE28,ONE,Vagans,Hypericum perforatum,12/8/15,150,1,6.053,1
