"","ID","target_name","Ct_mean","norm_genome_copbee","site","apiary_near_far","sumColonies","species"
"834",317,"BQCV",32.048,99902.83545,"MUDGE",0,0,"Bimaculatus"
"837",318,"BQCV",26.959,769284.3959,"ROCK",0,7,"Bimaculatus"
"840",319,"BQCV",29.424,126237.0342,"MUDGE",0,0,"Bimaculatus"
"843",320,"BQCV",28.328,717737.6967,"ROCK",0,7,"Bimaculatus"
"846",321,"BQCV",29.309,190363.7907,"CLERK",0,0,"Bimaculatus"
"852",323,"BQCV",30.819,100143.4708,"MUDGE",0,0,"Bimaculatus"
"858",325,"BQCV",27.584,760383.2822,"ROCK",0,7,"Bimaculatus"
"861",326,"BQCV",30.585,187887.312,"CLERK",0,0,"Bimaculatus"
"864",327,"BQCV",27.814,1166769.836,"ROCK",0,7,"Bimaculatus"
"870",329,"BQCV",30.554,65423.41371,"MUDGE",0,0,"Bimaculatus"
"873",330,"BQCV",21.981,25582661.85,"MUDGE",0,0,"Bimaculatus"
"879",332,"BQCV",27.14,2722837.011,"ROCK",0,7,"Bimaculatus"
"882",333,"BQCV",25.402,6676572.667,"ROCK",0,7,"Bimaculatus"
"885",334,"BQCV",27.141,2865780.246,"ONE",1,52,"Bimaculatus"
"888",335,"BQCV",29.128,529865.7803,"ONE",1,52,"Bimaculatus"
"891",336,"BQCV",31.513,287157.8761,"CLERK",0,0,"Bimaculatus"
"894",337,"BQCV",30.138,581822.4193,"MUDGE",0,0,"Bimaculatus"
"897",338,"BQCV",25.764,2730445.588,"ONE",1,52,"Bimaculatus"
"900",339,"BQCV",28.028,3209313.196,"ONE",1,52,"Bimaculatus"
"903",340,"BQCV",25.39,6295520.644,"ONE",1,52,"Bimaculatus"
"906",341,"BQCV",31.689,93576.47353,"MUDGE",0,0,"Bimaculatus"
"909",342,"BQCV",27.292,1581822.862,"MUDGE",0,0,"Bimaculatus"
"912",343,"BQCV",19.765,187012644.5,"CIND",0,1,"Bimaculatus"
"913",343,"DWV",31.081,55776.42593,"CIND",0,1,"Bimaculatus"
"915",344,"BQCV",25.863,3483096.035,"CIND",0,1,"Bimaculatus"
"918",345,"BQCV",23.164,12024307.5,"FLAN",0,10,"Bimaculatus"
"921",346,"BQCV",23.334,8235551.428,"PAT",1,54,"Bimaculatus"
"924",347,"BQCV",23.114,28685324.81,"FLAN",0,10,"Bimaculatus"
"927",348,"BQCV",22.559,19193779.66,"CIND",0,1,"Bimaculatus"
"928",348,"DWV",30.984,82528.67029,"CIND",0,1,"Bimaculatus"
"930",349,"BQCV",23.846,7186410.844,"PAT",1,54,"Bimaculatus"
"933",350,"BQCV",20.901,91127896.42,"PAT",1,54,"Bimaculatus"
"936",351,"BQCV",22.98,12593748.45,"CIND",0,1,"Bimaculatus"
"939",352,"BQCV",25.249,5046450.554,"FLAN",0,10,"Bimaculatus"
"942",353,"BQCV",25.489,3147152.624,"CIND",0,1,"Bimaculatus"
"945",354,"BQCV",19.867,92582678.48,"PAT",1,54,"Bimaculatus"
"948",355,"BQCV",21.627,49147343.7,"PAT",1,54,"Griseocollis"
"951",356,"BQCV",26.578,38631711.93,"FLAN",0,10,"Bimaculatus"
"954",357,"BQCV",25.919,4095270.802,"FLAN",0,10,"Bimaculatus"
"957",358,"BQCV",25.599,2900469.377,"CIND",0,1,"Bimaculatus"
"958",358,"DWV",30.445,134886.4892,"CIND",0,1,"Bimaculatus"
"960",359,"BQCV",28.575,1225335.543,"FLAN",0,10,"Bimaculatus"
"963",360,"BQCV",22.442,67070426.45,"PAT",1,54,"Bimaculatus"
"966",361,"BQCV",25.487,5646231.307,"FLAN",0,10,"Bimaculatus"
"969",362,"BQCV",23.45,17677555.07,"CIND",0,1,"Bimaculatus"
"970",362,"DWV",30.818,154464.8829,"CIND",0,1,"Bimaculatus"
"972",363,"BQCV",24.645,8701118.092,"CIND",0,1,"Bimaculatus"
"975",364,"BQCV",30.508,4108535.922,"FLAN",0,10,"Bimaculatus"
"978",365,"BQCV",22.233,169334999.1,"PAT",1,54,"Bimaculatus"
"981",366,"BQCV",24.545,9079420.941,"CIND",0,1,"Bimaculatus"
"984",367,"BQCV",26.133,4577694.198,"PAT",1,54,"Bimaculatus"
"987",368,"BQCV",23.243,20766007.76,"CIND",0,1,"Bimaculatus"
"988",368,"DWV",32.621,50527.53034,"CIND",0,1,"Bimaculatus"
"990",369,"BQCV",23.804,28034759.34,"PAT",1,54,"Bimaculatus"
"993",370,"BQCV",27.163,2150225.81,"FLAN",0,10,"Bimaculatus"
"999",372,"BQCV",25.007,25014447.83,"FLAN",0,10,"Bimaculatus"
"1005",374,"BQCV",23.582,22715855.72,"PAT",1,54,"Bimaculatus"
"1008",375,"BQCV",25.598,5337839.106,"MUDGE",0,0,"Bimaculatus"
"1011",376,"BQCV",32.005,70924.18144,"ROCK",0,7,"Vagans"
"1014",377,"BQCV",30.714,253630.4361,"ROCK",0,7,"Vagans"
"1017",378,"BQCV",27.142,2362300.776,"ROCK",0,7,"Bimaculatus"
