ID,Date,Site,Morpho species,plant,Time,Bee,
297,7/29/15,MUDGE,tiny black,in flight,16:55,OTHER,
298,7/31/15,HOGB,big bombus ,Trifolium pratense,12:35 PM,bombus,
299,7/31/15,HOGB,big bombus ,Trifolium pratense,12:35 PM,bombus,
300,7/31/15,HOGB,big bombus ,Trifolium pratense,12:35 PM,bombus,
301,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
302,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
303,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
304,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
305,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
306,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
307,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
308,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
309,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
310,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
311,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
312,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
313,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
314,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
315,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
316,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
317,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
318,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
319,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
320,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
321,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
322,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
323,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
324,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
325,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
326,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
327,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
328,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
329,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
330,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
331,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
332,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
333,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
334,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
335,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
336,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
337,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
338,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
339,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
340,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
341,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
342,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
343,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
344,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
