,site,target_name,sample_name,Ct_mean,Ct_sd,quantity_mean,quantity_sd,run,Date_collected,ID,species,host_plant,date_processed,pollen,dil.factor,apiary_near_far,genome_copbee,ACT_genome_copbee,norm_genome_copbee,norm_genome_copbeeHB,Ct_mean_hb,HBCollected,virusBINY_PreFilter,virusBINY,HB_Abun,HBSiteBin,ShannonDIV,SimpsonDIV,FisherDIV,Density,Name,Migratory,City,SBPV_PA,SBPV_CPB,ABPV_PA,ABPV_CPB,IAPV_PA,IAPV_CPB,DWV_PA,DWV_CPB,LSV.2_PA,LSV.2_CPB,CBPV_PA,CBPV_CPB,KBV_PA,KBV_CPB,VarroaTHR_PA,Varroa100,NosemaPA,NosemaCount,Apiary_name,lat,long,elevation,town,apiaryNotes,apiary,siteNotes,sumApiaries,sumColonies
14,BOST-NEAR,BQCV,202,27.35,0.021,146.721,2.041,48,6/25/15,BOSTN31,Vagans,Trifolium pratense,2/22/16,0,9.3415,1,1370594.222,3318891651,580316.9569,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
23,BOST-NEAR,DWV,202,34.209,1.128,2.191,1.472,48,6/25/15,BOSTN31,Vagans,Trifolium pratense,2/22/16,0,9.3415,1,20467.2265,3318891651,0,1407310274,17.375,1,1,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
57,BOST-NEAR,IAPV,202,NA,NA,NA,NA,48,6/25/15,BOSTN31,Vagans,Trifolium pratense,2/22/16,0,9.3415,1,0,3318891651,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
20,BOST-NEAR,BQCV,203,33.206,0.98,3.237,1.982,48,6/25/15,BOSTN29,Vagans,Trifolium pratense,2/22/16,1,10.239,1,33143.643,2859227439,0,366994726.8,19.549,1,1,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
12,BOST-NEAR,DWV,203,39.448,NA,0,NA,48,6/25/15,BOSTN29,Vagans,Trifolium pratense,2/22/16,1,10.239,1,0,2859227439,0,1407310274,17.375,1,0,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
53,BOST-NEAR,IAPV,203,NA,NA,NA,NA,48,6/25/15,BOSTN29,Vagans,Trifolium pratense,2/22/16,1,10.239,1,0,2859227439,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
4,BOST-NEAR,BQCV,204,28.339,0.038,75.704,1.924,48,6/25/15,BOSTN30,Vagans,Trifolium pratense,2/22/16,1,6.714,1,508276.656,895815651.4,797316.8769,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
27,BOST-NEAR,DWV,204,NA,NA,NA,NA,48,6/25/15,BOSTN30,Vagans,Trifolium pratense,2/22/16,1,6.714,1,0,895815651.4,0,1407310274,17.375,1,0,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
58,BOST-NEAR,IAPV,204,NA,NA,NA,NA,48,6/25/15,BOSTN30,Vagans,Trifolium pratense,2/22/16,1,6.714,1,0,895815651.4,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
56,BOST-NEAR,BQCV,205,23.287,0.056,2223.395,83.625,50,7/22/15,BOSTN45,Vagans,Vicia cracca,2/22/16,0,3.7925,1,8432225.538,1051983561,11263742.15,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
