LocationName,ColonyCount,Address1,city,lat,long
Rogers Yard,20,Unknown,New Haven,NA,NA
Saunders Yd.up dead end road(NewHavenMil,17,Unknown,New Haven,NA,NA
3173 RTE313 X Wilcox Rd,7,3173 RT 313,Sandgate,43.096478,-73.20419
Home,1,76 Casino Road,Williamstown,44.140285,-72.545082
Home Yard,12,43 Sweet Road,Waterbury Center,44.383586,-72.684289
Severy Yard,26,Galvan Road,Whiting,43.90854,-73.21774
Home Yard,1,219 Holt Road,Plainfield,44.275532,-72.386169
Home Yard,2,313 Davis Road,Northfield Falls,44.167621,-72.648085
Home Yard,2,150 VT RT 100b,Moretown,44.242736,-72.775825
Mikkelson Drone Yard,15,QUAKER St,Lincoln,44.126815,-73.000278
Peterson,2,157 E. Tinmouth Rd,Clarendon,43.495216,-73.012489
119 PleasantValleyRd,1,119 Pleasant Valley Road,Rockingham,43.144623,-72.516129
Smith Yard,16,Dorset Steet,Shelburne,44.360603,-73.179013
Off West Hill Rd 2nd drive on L after RR,0,Unknown,Ludlow,NA,NA
Home Yard,5,24 Hollow Road,North Ferrisburg,44.237198,-73.145119
Home,0,391 Morey Hill Road,Craftsbury,44.62048,-72.384033
Hartshorn Yard,7,Quarry Road,Waitsfield,44.214648,-72.795539
Home,5,710 River Road,Montpelier,44.330803,-72.762315
Home,2,126 Covered Bridge Road,Monkton,44.267005,-73.183386
Ballard Farm Yard,20,Unknown,Hinesburg,44.20492,-73.071674
Home,1,53 Meadow Lane,Bolton,44.382416,-72.914574
Home Yard,1,Unknown,Calais-adamant,NA,NA
Home Yard,4,984 Chandler Road,Northfield,44.189663,-72.644165
Home Yard,13,18 Norton Road,Worcester,44.34248,-72.5642
Foote Brook,32,Unknown,Johnson,44.63893,-72.70666
Intervale,1,Unknown,Burlington,NA,NA
Home,5,177 Websterville Road,Barre,44.166846,-72.475781
Intervale Community Farm,2,Intervale Road,Burlington,44.502867,-73.208472
10 Stone Circle Yard,1,Unknown,Charlotte,NA,NA
5,17,Unknown,Ferrisburg,44.2076,-73.31105
Home,12,262 Shunpike Road,Shrewsbury,43.490089,-72.87748
Home,1,217 Atwood Road,Hartford,43.672543,-72.39431
Home Yard,0,Unknown,Sandgate,NA,NA
Drolet Yd,6,552 Cottage Street,Morristown,NA,NA
BaldwinRdYd,0,Unknown,Hinesburg,NA,NA
NA,2,62 Juniper Ridge Road,Brattleboro,42.83246,-72.60457
Home,2,320 Old Gulf Road,Moretown,44.250164,-72.770648
Home,2,1565 20 Mile Stream Rd.,Cavendish,43.405163,-72.642105
Home,1,1718 Gabert Road,Woodstock,43.612731,-72.568397
Home,4,1127 Skiparee Road,Pownal,42.822767,-73.261906
Scholten Yard,35,Unknown,Shoreham,NA,NA
Berry Creek Farm,9,1342 VT RT 100,Westfield,44.886473,-72.43034
Rod Yard,49,RT 22A,Fair Haven,43.61276,-73.28885
Bartholomew #1 Yard/East Road,49,Unknown,Benson,NA,NA
Phelps Yard -RT 73,28,Unknown,Orwell,NA,NA
Home yard,2,419 Guild Hill Road,Waterbury Center,44.390419,-72.711357
Hubbard Yd.,20,RT 22A,West Haven,43.65687,-73.29079
St.GeorgeYd,42,Old Sawmill Road,Orwell,43.81191,-73.23576
Home Yard,1,708 Otter Creek Highway,New Haven,44.11935,-73.195793
Waltham Yard,18,Unknown,New Haven,NA,NA
Hidden Meadow Yd,31,Unknown,New Haven,NA,NA
Home,1,515 Westford Road,Milton,44.640521,-73.056438
Orchard yard  Daniels Road,0,Unknown,New Haven,NA,NA
Home yard,5,1161 RT 66,Vergennes,44.139755,-73.242406
Home,7,204 Reynolds Road,Fairfield,44.853012,-72.970619
Marshfield Yard,1,989 Maple Hill Road,Marshfield,44.275951,-72.401085
1,2,153 Broughton Road,Poultney,43.512829,-73.240536
Home,1,16 South St.,Middlebury,44.009356,-73.170721
Home Yard,8,136 Trombley Hill Road,Hyde Park,44.578922,-72.57946
4,2,457 Coy Hill Road,Middletown Spg,44.558803,-72.577841
Home,2,Unknown,Fairfield,NA,NA
Home,2,204 West Road,Putney,43.036163,-72.545975
Deserted house yard Clark Woods Road,0,Unknown,Ferrisburg,NA,NA
ShapiroYd,0,Robinson Road,Ferrisburg,44.225,-73.226389
Hawkins Farm yard,0,Unknown,Ferrisburg,NA,NA
Home Yard,9,488 VT RT 14,South Royalton,43.870503,-72.582545
Booth Yd,24,Unknown,Ferrisburg,44.20741,-73.21437
Home Yard,2,73 Sam Web Road,Fairfax,44.686409,-73.025668
Home Yard,3,262 Hill St,Barre,44.192108,-72.481796
Home Yard,5,116 Stowe Street,Waterbury,44.344044,-72.747009
Home,1,28 North Puckerbrush Road,Reading,43.47616,-72.602911
Muzzy Yard,0,Unknown,Ferrisburg,NA,NA
DunningYd,32,Unknown,Cornwall,NA,NA
Parents house,2,153 Vt Route 14 North,Randolph,43.942406,-72.554738
BronsonYd(Sumac),3,Market Road,Bridport,43.99862,-73.28148
same as physical,5,Market Road,Middlebury,43.989722,-73.358056
Hemingway Hill yard,21,Hemingway Hill Road,Bridport,43.964167,-73.294444
N. Bridport Yard,24,Market Road West,Bridport,43.991389,-73.379167
Town Line Yard,4,Townline Road,Addison,44.02624,-73.36232
Nate Smith Yard (1024),8,Middle Road,Bridport,43.980556,-73.329444
Store Yard,29,Heitman Road,Bridport,43.9563,-73.36534
Monkton Rd Yd.,0,Unknown,Monkton,NA,NA
Old Lady Yard,24,Wilmarth Road,Addison,44.04745,-73.29812
Dead Creek Yard,17,RT 17,Addison,44.085556,-73.349722
Addison Mountain Road yard,0,Unknown,Addison,NA,NA
Home,2,58 Zion Hill Road,West Topsham,44.119462,-72.298448
Home,0,96 Meetinghouse Road,Norwich,43.773478,-72.296635
Kennet yard,0,Unknown,Addison,NA,NA
Goodrich Road yard,0,Unknown,Addison,NA,NA
VanderWay Yd,38,Unknown,Ferrisburg,NA,NA
Home,1,8 Wildwood Drive,Essex Junction,44.487819,-73.077734
Wilson Yard,20,Hemenway Hill Road,Orwell,43.84471,-73.32621
Schoolhouse yard,18,Liberty Lane,Bridport,43.95199,-73.38776
Plouff Yard,20,Happy Valley Road,Bridport,43.95715,-73.32176
Markwell Yard,18,Mountain Road,Cornwall,43.999722,-73.250833
Route 17/Old Townsend yard,0,RT 17,Addison,NA,NA
Guy Smith yard/Townline Road,0,Unknown,Addison,NA,NA
Sticky Fingers Apiary,1,18 VT RTE 30,Jamaica,43.145024,-72.867143
Home,1,81 Sandville Road,St. Johnsbury,44.456638,-72.043907
Home Yard,2,1217 Brook Road,Waitsfield,44.17454,-72.80048
Home,7,212 Lacrosse Road,Springfield,43.298408,-72.482312
Outyard,4,2483 Elm Street,Montpelier,44.291296,-72.578188
Home,3,1225 Fern Lake Road,Leicester,43.864967,-73.085754
Home Yard,2,232 Steepway Road,Newfane,42.972149,-72.679672
2.3M up from McNair on L Red Metal roof,3,457 Winhall Hollow Road,Bondville,43.18694,-72.87121
Home,1,112 Nashville Road,Jericho,NA,NA
Home,1,3382 VT Rt 12-a,Northfield,NA,NA
Home,2,429 Abbott Road,Windham,43.165459,-72.716614
Mazza Veg.Stand,0,Unknown,Essex,NA,NA
23 N. Street (wife's),0,Unknown,Middletown Spg,43.072217,-89.785679
At camp,0,4689 Chateauguay Road,Bridgewater,43.662157,-72.69516
Old Pit,21,Mud Dock Road,Orwell,43.79917,-73.36139
Home Yard,3,97 Kerwin Hill Road,Norwich,43.784565,-72.263199
Home,1,1612 Old Cheney Road,Windham,43.141068,-72.726799
Home Yard,4,3669 RT 5,Westminster Center,NA,NA
Stix and Stones Farm,8,610 Egan Road,Cavendish,43.394695,-72.569038
Home,5,656 Dimick Road,Hardwick,44.546497,-72.277376
Home Yard,6,24 County Road,Hartland,43.534931,-72.434953
Audet Yd,26,Unknown,Orwell,NA,NA
Home Yard,3,338 Thompson Road,Shelburne,44.37693,-73.210258
Home Yard,2,141 Cider Mill Hill Road,West Brattleboro,42.919693,-72.642956
Behind fire station,0,Unknown,Brattleboro,42.850915,-72.557868
Home Yard,14,25 West Hill Road,Ludlow,43.393892,-72.707511
Home Yard,2,110 Daniel's Hill Road,South Newfane,42.959195,-72.751365
Home,2,634 Miller Pond Road,Thetford,43.843536,-72.312607
Home,2,21 Turner Road,Weston,43.311859,-72.825859
Home,2,107 Peabody Road,Hartland,43.540636,-72.398931
Home,1,834 Back Road,Belvidere,44.747875,-72.711815
RT 100,1,263 Farm & Wilderness Road,Plymouth,43.570317,-72.755778
Priestly Yd,3,431 Woodbury Road,Springfield,43.308628,-72.458977
Home Yard,4,1765 Main Street,New Haven,44.12505,-73.14665
Home,1,113 Plains Road,Jericho,44.490706,-72.994172
Home,0,2028 Evansville Road,Brownington,44.795357,-72.107948
Home Yard,10,Unknown,Castleton,NA,NA
Home,5,32 Morgan Road,Jericho,44.484459,-72.958665
Off Resevoir Rd,1,793 Cady Hill Road,Weathersfield,43.379975,-72.479661
Home,1,22 Barber Farm Road,Jericho,44.464457,-72.978158
Home,5,359 Pine Street,Castleton,43.609383,-73.235815
