"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"448",218,"BQCV",23.723,18205752.715559
"458",107,"BQCV",27.593,473256.099616126
"459",86,"DWV",31.544,89498.551338164
"464",108,"BQCV",27.832,624663.199812605
"467",103,"DWV",27.684,709644.520804028
"468",65,"BQCV",29.921,94666.5492781331
"470",230,"BQCV",24.968,7530893.63132711
"471",86,"BQCV",24.833,6530293.8359768
"474",84,"BQCV",32.45,33336.3435687286
"479",233,"BQCV",31.108,73503.1672506979
"482",105,"BQCV",27.391,1236835.64018929
"483",104,"BQCV",30.15,120812.586598295
"485",103,"BQCV",27.391,769207.359540549
"486",85,"BQCV",31.357,226353.700468682
"487",221,"BQCV",21.316,22454589.7874099
"488",63,"BQCV",24.935,2108176.82372264
"489",226,"BQCV",22.488,35076195.674195
"491",224,"BQCV",32.28,31363.2473498928
"492",236,"BQCV",29.373,3738285.78537916
"493",64,"BQCV",30.777,55674.1846807754
"494",235,"BQCV",27.851,2983484.78801384
"495",106,"BQCV",30.273,171925.148747718
"508",194,"DWV",30.562,149461.482121651
"522",323,"BQCV",30.819,100143.470804607
"523",342,"BQCV",27.292,1581822.86244253
"524",164,"BQCV",30.646,262775.300926984
"526",330,"BQCV",21.981,25582661.8484859
"527",375,"BQCV",25.598,5337839.10644752
"528",317,"BQCV",32.048,99902.8354485527
"529",319,"BQCV",29.424,126237.034215012
"531",158,"BQCV",30.06,198660.257426162
"547",341,"BQCV",31.689,93576.4735266082
"548",314,"BQCV",27.347,409499.420146532
"550",337,"BQCV",30.138,581822.419343273
"551",162,"BQCV",29.904,237320.762337245
"567",329,"BQCV",30.554,65423.4137084164
"605",83,"BQCV",31.645,341552.953690214
"608",138,"BQCV",24.504,3855325.31550063
"610",338,"BQCV",25.764,2730445.58840031
"614",151,"BQCV",27.086,1339892.92520297
"620",139,"DWV",32.372,7978.62803065888
"639",153,"BQCV",24.039,10120163.0304494
"641",334,"BQCV",27.141,2865780.2460357
"642",150,"BQCV",24.373,4880114.06780661
"643",339,"BQCV",28.028,3209313.1955727
"644",140,"BQCV",27.614,996428.824361499
"645",145,"BQCV",24.75,4472261.28122026
"646",139,"BQCV",25.253,2239518.73872129
"648",340,"BQCV",25.39,6295520.64376705
"649",335,"BQCV",29.128,529865.780347425
"650",294,"BQCV",24.538,2613931.96484639
"651",288,"BQCV",28.358,3973640.6999723
"652",147,"BQCV",28.126,709944.780583191
"653",287,"BQCV",24.743,9863941.94655131
"668",285,"BQCV",25.572,3075573.76538332
"669",152,"BQCV",28.144,1335444.49862302
"673",354,"BQCV",19.867,92582678.4779291
"680",349,"BQCV",23.846,7186410.84363456
"688",346,"BQCV",23.334,8235551.42769213
"691",369,"BQCV",23.804,28034759.3379632
"693",355,"BQCV",21.627,49147343.697716
"700",365,"BQCV",22.233,169334999.116501
"701",374,"BQCV",23.582,22715855.720624
"702",367,"BQCV",26.133,4577694.19819346
"703",350,"BQCV",20.901,91127896.4225864
"704",360,"BQCV",22.442,67070426.451203
"713",75,"BQCV",30.728,84654.2432493511
"714",255,"BQCV",25.02,10240159.6386091
"716",92,"DWV",30.493,434176.363004884
"718",74,"BQCV",28.123,784683.088298368
"736",73,"BQCV",23.322,37774778.4280813
"737",57,"BQCV",26.098,4302163.98116007
"738",31,"BQCV",25.108,4396586.88257303
"740",55,"BQCV",27.759,1534683.12526593
"741",279,"BQCV",28.035,866100.974197189
"743",272,"BQCV",28.816,1324746.61431845
"744",44,"BQCV",28.02,862299.500642298
"745",93,"BQCV",25.458,5071391.66743861
"746",43,"BQCV",27.36,1823784.96678225
"747",92,"BQCV",27.909,5488419.08608094
"748",250,"BQCV",26.117,3014018.7193674
"749",273,"BQCV",26.557,1542749.92724609
"752",72,"BQCV",27.066,989793.495234689
"754",263,"BQCV",23.163,29857893.4290656
"755",270,"BQCV",30.513,153509.503723483
"757",91,"BQCV",32.477,21550.4170519645
"758",94,"BQCV",24.972,4139082.79949145
"782",257,"BQCV",24.684,4937754.98376085
