well,labID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
D6,P32,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D7,P33,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D8,P34,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D9,P35,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D10,P36,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D11,P37,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D12,P38,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
E1,P39,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E2,P40,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E3,P41,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E4,P42,DWV,0.715,No Amp,UNKNOWN,39.261,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,TRUE,
E5,P43,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E6,P44,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E7,P45,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E8,P46,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E9,P47,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E10,P48,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E11,P49,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E12,No Sample,DWV,0,No Amp,NTC,Undetermined,-,-,-,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F1,P39,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F2,P40,DWV,0.986,No Amp,UNKNOWN,37.636,37.636,-,0.21,0.21,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,34,FALSE,
F3,P41,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F4,P42,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F5,P43,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F6,P44,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F7,P45,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F8,P46,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F9,P47,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F10,P48,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F11,P49,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F12,Gblock,DWV,1.355,Amp,UNKNOWN,7.714,7.714,-,5.43E+07,5.43E+07,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,5,FALSE,
G1,P39,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G2,P40,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G3,P41,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G4,P42,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G5,P43,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G6,P44,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G7,P45,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G8,P46,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G9,P47,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G10,P48,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G11,P49,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
G12,No Sample,BQCV,0,No Amp,NTC,Undetermined,-,-,-,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H1,P39,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H2,P40,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H3,P41,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H4,P42,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H5,P43,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H6,P44,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H7,P45,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H8,P46,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H9,P47,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H10,P48,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H11,P49,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
H12,Gblock,BQCV,1.352,Amp,UNKNOWN,8.61,8.61,-,4.08E+07,4.08E+07,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,6,FALSE,
A1,P50,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A2,P51,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A3,P52,DWV,1.263,Amp,UNKNOWN,30.318,30.443,0.177,23.935,22.145,2.532,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,26,FALSE,
A4,P53,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A5,P54,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A6,P55,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A7,P56,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A8,P57,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A9,P58,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A10,P59,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A11,P60,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
A12,P61,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B1,P50,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B2,P51,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B3,P52,DWV,1.262,Amp,UNKNOWN,30.568,30.443,0.177,20.354,22.145,2.532,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,26,FALSE,
B4,P53,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B5,P54,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B6,P55,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B7,P56,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B8,P57,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B9,P58,DWV,1.216,Amp,UNKNOWN,34.078,34.078,-,2.099,2.099,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,30,FALSE,
B10,P59,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B11,P60,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
B12,P61,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
C1,P50,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C2,P51,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C3,P52,BQCV,1.269,Amp,UNKNOWN,29.033,28.95,0.117,47.586,50.373,3.941,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
C4,P53,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C5,P54,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C6,P55,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C7,P56,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C8,P57,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C9,P58,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C10,P59,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C11,P60,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
C12,P61,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D1,P50,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D2,P51,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D3,P52,BQCV,1.277,Amp,UNKNOWN,28.868,28.95,0.117,53.16,50.373,3.941,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
D4,P53,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D5,P54,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D6,P55,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D7,P56,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D8,P57,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D9,P58,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D10,P59,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D11,P60,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
D12,P61,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
E1,P62,DWV,1.102,No Amp,UNKNOWN,36.978,36.978,-,0.321,0.321,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,33,FALSE,
E2,P63,DWV,1.265,Amp,UNKNOWN,30.604,30.824,0.311,19.885,17.42,3.486,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,26,FALSE,
E3,P64,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
E4,P65,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
E5,P66,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
E6,P67,DWV,1.278,Amp,UNKNOWN,29.385,29.282,0.145,43.781,46.897,4.406,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,25,FALSE,
E7,P68,DWV,1.264,Amp,UNKNOWN,26.39,26.385,0.007,304.375,305.338,1.361,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,22,FALSE,
E8,P69,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
E9,P70,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
E10,P71,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
E11,P72,DWV,1.273,Amp,UNKNOWN,32.828,32.458,0.524,4.712,6.161,2.05,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,29,FALSE,
E12,No Sample,DWV,0,No Amp,NTC,Undetermined,-,-,-,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F1,P62,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F2,P63,DWV,1.274,Amp,UNKNOWN,31.044,30.824,0.311,14.956,17.42,3.486,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,27,FALSE,
F3,P64,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F4,P65,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F5,P66,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F6,P67,DWV,1.273,Amp,UNKNOWN,29.18,29.282,0.145,50.012,46.897,4.406,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,25,FALSE,
F7,P68,DWV,1.264,Amp,UNKNOWN,26.38,26.385,0.007,306.3,305.338,1.361,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,22,FALSE,
F8,P69,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F9,P70,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F10,P71,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
F11,P72,DWV,1.289,Amp,UNKNOWN,32.088,32.458,0.524,7.611,6.161,2.05,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,28,FALSE,
F12,Gblock,DWV,1.344,Amp,UNKNOWN,8.547,8.547,-,3.16E+07,3.16E+07,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,5,FALSE,
G1,P62,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
G2,P63,BQCV,1.269,Amp,UNKNOWN,29.369,29.487,0.167,38.017,35.239,3.928,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
G3,P64,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
G4,P65,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
G5,P66,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
G6,P67,BQCV,1.291,Amp,UNKNOWN,30.959,31.553,0.839,13.119,6.56,9.277,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,27,FALSE,
G7,P68,BQCV,1.267,Amp,UNKNOWN,29.974,29.766,0.294,25.362,29.427,5.749,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,26,FALSE,
G8,P69,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
G9,P70,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
G10,P71,BQCV,1.263,Amp,UNKNOWN,33.897,33.897,-,1.839,1.839,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,30,FALSE,
G11,P72,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
G12,No Sample,BQCV,0,No Amp,NTC,Undetermined,-,-,-,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H1,P62,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H2,P63,BQCV,1.271,Amp,UNKNOWN,29.605,29.487,0.167,32.462,35.239,3.928,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
H3,P64,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H4,P65,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H5,P66,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H6,P67,BQCV,1.277,Amp,UNKNOWN,32.146,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,28,TRUE,
H7,P68,BQCV,1.269,Amp,UNKNOWN,29.558,29.766,0.294,33.492,29.427,5.749,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
H8,P69,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H9,P70,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H10,P71,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H11,P72,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
H12,Gblock,BQCV,1.348,Amp,UNKNOWN,7.387,7.387,-,9.24E+07,9.24E+07,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,4,FALSE,
A1,P73,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A2,P74,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A3,P75,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A4,P76,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A5,P77,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A6,P78,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A7,P79,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
