"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"992",305,"DWV",NA,0
"993",286,"DWV",NA,0
"994",282,"DWV",NA,0
"995",292,"IAPV",NA,0
"996",172,"IAPV",NA,0
"997",175,"IAPV",NA,0
"998",296,"IAPV",38.121,0
"999",291,"IAPV",NA,0
"1000",165,"IAPV",NA,0
"1001",167,"IAPV",NA,0
"1002",170,"IAPV",NA,0
"1003",171,"IAPV",NA,0
"1004",305,"IAPV",NA,0
"1005",306,"IAPV",NA,0
"1006",190,"BQCV",35.196,0
"1007",175,"BQCV",33.074,0
"1009",172,"BQCV",NA,0
"1012",292,"BQCV",NA,0
"1014",291,"BQCV",NA,0
"1015",286,"BQCV",NA,0
"1016",282,"BQCV",33.309,0
"1017",170,"DWV",37.438,0
"1018",171,"DWV",37.616,0
"1019",174,"DWV",NA,0
"1020",174,"DWV",37.889,0
"1021",173,"DWV",NA,0
"1022",190,"DWV",36.295,0
"1023",175,"DWV",NA,0
"1024",167,"DWV",NA,0
"1025",30,"IAPV",NA,0
"1026",30,"IAPV",NA,0
"1027",296,"DWV",NA,0
"1028",291,"DWV",NA,0
"1029",282,"IAPV",NA,0
"1030",174,"IAPV",NA,0
"1031",307,"IAPV",NA,0
"1032",312,"IAPV",NA,0
"1033",293,"IAPV",NA,0
"1035",296,"IAPV",NA,0
"1036",173,"IAPV",NA,0
"1037",286,"IAPV",NA,0
"1038",190,"IAPV",38.783,0
"1048",71,"DWV",NA,0
"1049",38,"DWV",35.041,0
"1050",110,"DWV",NA,0
"1052",37,"DWV",38.259,0
"1053",54,"DWV",NA,0
"1054",112,"DWV",NA,0
"1055",36,"DWV",NA,0
"1056",109,"DWV",NA,0
"1057",52,"DWV",NA,0
"1060",53,"DWV",NA,0
"1061",112,"IAPV",NA,0
"1062",54,"IAPV",NA,0
"1063",35,"IAPV",NA,0
"1064",53,"IAPV",36.384,0
"1065",37,"IAPV",NA,0
"1066",36,"IAPV",NA,0
"1067",110,"IAPV",NA,0
"1068",52,"IAPV",NA,0
"1069",109,"IAPV",NA,0
"1070",71,"IAPV",NA,0
"1071",35,"IAPV",NA,0
"1072",38,"IAPV",NA,0
