ID,Date,site,Morpho_species,plant,Time,Notes
381,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
382,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
383,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
384,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
385,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
386,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
387,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
388,7/31/15,HOGB,apis,Trifolium pratense,12:35 PM,mostly cloudy
389,7/31/15,HOGB,apis,Trifolium pratense,12:35 PM,mostly cloudy
390,7/31/15,HOGB,apis,Trifolium pratense,12:35 PM,mostly cloudy
391,7/31/15,HOGB,apis,Trifolium pratense,12:35 PM,mostly cloudy
392,7/23/15,FERL,small bombus,Hypericum perforatum,2:30 PM,
393,7/23/15,FERL,small black,Hypericum perforatum,2:30 PM,
394,7/23/15,FERL,tiny black,Trifolium pratense,2:30 PM,
395,7/23/15,RICE,big bombus ,Vicia cracca,3:25 PM,saw some apis prior to survey (2-3)
396,7/23/15,RICE,small bombus ,Vicia cracca,3:25 PM,saw some apis prior to survey (2-3)
397,7/23/15,RICE,small bombus ,Vicia cracca,3:25 PM,saw some apis prior to survey (2-3)
398,7/23/15,RICE,small bombus ,Vicia cracca,3:25 PM,saw some apis prior to survey (2-3)
399,7/23/15,RICE,small bombus ,Vicia cracca,3:25 PM,saw some apis prior to survey (2-3)
