ID,RNA_Extraction_Date ,ng/ul ,260/280 ,260/230 ,Constant ,RNA_for_Dilution,final_vol,H2O,dil.factor
70,11/7/15,92.05,2.19,1.67,40,10,46,36,4.6
71,11/7/15,148.96,2.18,1.83,40,5,37.2,32.2,7.4
72,11/7/15,107.46,2.16,2.13,40,10,53.7,43.7,5.4
73,11/7/15,51.51,2.27,1.03,40,15,38.6,23.6,2.6
74,11/7/15,65.96,2.14,1.56,40,10,33,23,3.3
75,11/7/15,85.66,2.16,1.74,40,10,42.8,32.8,4.3
76,11/7/15,51.37,2.12,1.41,40,15,38.5,23.5,2.6
77,11/7/15,115.74,2.16,0.36,40,10,57.9,47.9,5.8
78,11/7/15,70.54,2.19,0.43,40,10,35.3,25.3,3.5
79,11/7/15,105.86,2.16,0.71,40,10,52.9,42.9,5.3
80,11/7/15,35.97,2.14,0.77,40,20,36,16,1.8
81,11/7/15,114.63,2.14,0.7,40,10,57.3,47.3,5.7
82,11/7/15,33.74,2.11,1.5,40,20,33.7,13.7,1.7
83,11/7/15,48.86,2.19,2.02,40,15,36.6,21.6,2.4
84,11/7/15,89.53,2.18,0.27,40,10,44.8,34.8,4.5
85,11/7/15,55.64,2.19,0.81,40,15,41.7,26.7,2.8
86,11/7/15,83.52,2.19,0.8,40,10,41.8,31.8,4.2
87,11/7/15,134.61,2.21,1.27,40,5,33.7,28.7,6.7
88,11/7/15,153.36,2.2,1.98,40,5,38.3,33.3,7.7
89,11/7/15,135.08,2.17,1.12,40,5,33.8,28.8,6.8
90,11/7/15,24.77,2.24,0.66,40,25,31,6,1.2
91,11/7/15,162.27,2.18,1.45,40,5,40.6,35.6,8.1
92,11/7/15,23.35,2.27,0.18,40,30,35,5,1.2
93,11/7/15,124.72,2.2,0.92,40,10,62.4,52.4,6.2
94,11/7/15,42.57,2.25,0.31,40,15,31.9,16.9,2.1
95,11/7/15,147.67,2.18,0.82,40,5,36.9,31.9,7.4
96,11/7/15,8.72,2.38,0.58,40,50,21.8,-28.2,0.4
97,11/7/15,167.75,2.19,1.76,40,5,41.9,36.9,8.4
98,11/7/15,190.87,2.18,1.34,40,5,47.7,42.7,9.5
99,11/7/15,100.42,2.19,0.93,40,10,50.2,40.2,5
100,11/7/15,96.99,2.18,1.22,40,10,48.5,38.5,4.8
101,11/7/15,95.94,2.1,1.06,40,10,48,38,4.8
102,11/7/15,110.47,2.15,1.79,40,10,55.2,45.2,5.5
103,11/7/15,83.82,2.17,1.97,40,10,41.9,31.9,4.2
104,11/7/15,102.14,2.18,2.17,40,10,51.1,41.1,5.1
105,11/7/15,133.53,2.18,1.57,40,5,33.4,28.4,6.7
106,11/7/15,163.26,2.2,2.08,40,5,40.8,35.8,8.2
107,11/8/15,149.07,2.2,0.96,40,5,37.3,32.3,7.5
108,11/8/15,105.74,2.15,2.08,40,10,52.9,42.9,5.3
109,11/8/15,120.31,2.2,1.33,40,5,30.1,25.1,6
110,11/8/15,118.5,2.22,1.56,40,10,59.3,49.3,5.9
111,,,,,,,,,
112,11/8/15,170.41,2.19,1.95,40,5,42.6,37.6,8.5
113,11/8/15,123.56,2.25,1.75,40,5,30.9,25.9,6.2
114,11/8/15,144.81,2.18,2.03,40,5,36.2,31.2,7.2
115,11/8/15,147.67,2.2,1.95,40,5,36.9,31.9,7.4
116,11/8/15,218.87,2.24,1.61,40,5,54.7,49.7,10.9
117,11/19/15,111.54,2.19,2.17,40,10,55.8,45.8,5.6
118,11/19/15,127.4,2.22,1.89,40,10,63.7,53.7,6.4
119,11/19/15,144.16,2.21,2.22,40,5,36,31,7.2
120,11/19/15,80.81,2.3,0.34,40,10,40.4,30.4,4
121,11/19/15,18,2.28,1.5,40,10,9,-1,0.9
122,11/19/15,70.19,2.22,1.72,40,10,35.1,25.1,3.5
123,11/19/15,42.86,2.33,0.97,40,15,32.1,17.1,2.1
124,11/19/15,78.04,2.21,1.67,40,10,39,29,3.9
125,11/19/15,161.7,2.23,2.2,40,5,40.4,35.4,8.1
126,11/19/15,48.2,2.18,0.43,40,15,36.2,21.2,2.4
127,11/20/15,85.74,2.16,0.77,40,10,42.9,32.9,4.3
