well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
D7,K22,BQCV,1.331,Amp,UNKNOWN,25.11,25.089,0.03,656.309,665.708,13.293,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,20,FALSE,33
D8,K23,BQCV,1.348,Amp,UNKNOWN,24.394,24.464,0.099,1059.738,1012.253,67.153,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,20,FALSE,33
D9,K24,BQCV,1.325,Amp,UNKNOWN,25.9,25.884,0.023,387.113,391.294,5.912,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
D10,K25,BQCV,1.35,Amp,UNKNOWN,25.471,25.276,0.276,515.669,592.481,108.629,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
E1,K16,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E2,K17,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E3,K18,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E4,K19,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E5,K20,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E6,K21,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E7,K22,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E8,K23,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E9,K24,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
E10,K25,IAPV,0.979,No Amp,UNKNOWN,37.461,37.461,,0.636,0.636,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,34,FALSE,33
