ID,Treatment,dil.factor,well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
1.1,1,23.4,F6,I-38,ACTIN,1.402,Amp,UNKNOWN,15.67,15.553,0.166,676936.9,731877.25,77697.41,36.5667,0.9988,-3.584,90.11565,TRUE,0.235,TRUE,3,10,FALSE,107
1.1,1,23.4,C6,I-38,BQCV,1.017,Amp,UNKNOWN,28.252,27.776,0.673,80.262,116.009,50.555,34.8074,0.9981,-3.4422,95.21442,TRUE,0.128,TRUE,3,23,FALSE,107
1.1,1,23.4,D6,I-38,BQCV,1.318,Amp,UNKNOWN,27.299,27.776,0.673,151.757,116.009,50.555,34.8074,0.9981,-3.4422,95.21442,TRUE,0.128,TRUE,3,22,FALSE,107
1.1,1,23.4,A6,I-38,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.11,TRUE,3,39,TRUE,107
1.1,1,23.4,B6,I-38,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.11,TRUE,3,39,TRUE,107
1.2,1,14.7,E2,I-45,ACTIN,1.414,Amp,UNKNOWN,16.616,16.54,0.107,368732.5,387573.66,26645.408,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
1.2,1,14.7,F2,I-45,ACTIN,1.416,Amp,UNKNOWN,16.464,16.54,0.107,406414.78,387573.66,26645.408,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
1.2,1,14.7,C2,I-45,BQCV,1.323,Amp,UNKNOWN,27.964,27.839,0.177,97.28,106.165,12.565,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,23,FALSE,108
1.2,1,14.7,D2,I-45,BQCV,1.321,Amp,UNKNOWN,27.713,27.839,0.177,115.05,106.165,12.565,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,23,FALSE,108
1.2,1,14.7,A11,I-45,DWV,1.32,Amp,UNKNOWN,32.588,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,29,TRUE,119
1.2,1,14.7,B11,I-45,DWV,1.333,Amp,UNKNOWN,32.255,32.255,0,6.828,6.828,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,29,FALSE,119
1.3,1,8.8,E3,I-46,ACTIN,1.417,Amp,UNKNOWN,16.595,16.648,0.074,373589.44,361393.97,17247.04,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
1.3,1,8.8,F3,I-46,ACTIN,1.418,Amp,UNKNOWN,16.7,16.648,0.074,349198.47,361393.97,17247.04,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
1.3,1,8.8,C3,I-46,BQCV,1.31,Amp,UNKNOWN,29.436,29.105,0.468,36.346,46.458,14.301,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,25,FALSE,108
1.3,1,8.8,D3,I-46,BQCV,1.326,Amp,UNKNOWN,28.775,29.105,0.468,56.57,46.458,14.301,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,24,FALSE,108
1.3,1,8.8,A12,I-46,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
1.3,1,8.8,C12,I-46,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
1.4,1,8.4,E4,I-47,ACTIN,1.409,Amp,UNKNOWN,16.248,16.244,0.006,466925.25,468228.56,1843.157,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
1.4,1,8.4,F4,I-47,ACTIN,1.406,Amp,UNKNOWN,16.239,16.244,0.006,469531.88,468228.56,1843.157,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
1.4,1,8.4,C4,I-47,BQCV,1.327,Amp,UNKNOWN,27.923,27.935,0.018,100.029,99.175,1.207,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,23,FALSE,108
1.4,1,8.4,D4,I-47,BQCV,1.324,Amp,UNKNOWN,27.948,27.935,0.018,98.322,99.175,1.207,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,23,FALSE,108
1.4,1,8.4,E1,I-47,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
1.4,1,8.4,G1,I-47,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
1.5,1,21.9,E5,I-48,ACTIN,1.423,Amp,UNKNOWN,15.981,15.986,0.007,554353.4,552604.1,2473.842,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,10,FALSE,108
1.5,1,21.9,F5,I-48,ACTIN,1.42,Amp,UNKNOWN,15.991,15.986,0.007,550854.8,552604.1,2473.842,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,10,FALSE,108
1.5,1,21.9,C5,I-48,BQCV,1.273,Amp,UNKNOWN,26.635,26.494,0.2,236.663,261.313,34.86,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,22,FALSE,108
1.5,1,21.9,D5,I-48,BQCV,1.325,Amp,UNKNOWN,26.352,26.494,0.2,285.962,261.313,34.86,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,22,FALSE,108
