ID,Virus,CqMean,QuantityMean,dilFactor,Colony,caste,treatment,genome_copbee,ACT_genome_copbee,norm_genome_copbee,MeltTemp,virusBINY,LOGviralLoad,viralLoad
F21,IAPV,NA,NA,6,49,worker,far,NA,2619262500,NA,68.27698517,0,0,0
F22,IAPV,NA,NA,1.8,49,worker,far,NA,439516512,NA,68.02732849,0,0,0
F23,IAPV,NA,NA,5,5,worker,near,NA,1625684200,NA,68.13175964,0,0,0
F24,IAPV,NA,NA,8.6,42,worker,far,NA,2603202542,NA,68.73090363,0,0,0
F25,IAPV,35.583,2.129,11.5,42,worker,far,24483.5,3365981000,19436.39092,79.56564331,0,0,0
F26,IAPV,NA,NA,7.6,42,worker,far,NA,2338840872,NA,68.0300293,0,0,0
F27,IAPV,NA,NA,16.1,5,worker,near,NA,2785931442,NA,67.08721161,0,0,0
F28,IAPV,NA,NA,9.3,5,worker,near,NA,2811894990,NA,66.88749695,0,0,0
F29,IAPV,NA,NA,10.4,42,worker,far,NA,2854750600,NA,72.67546844,0,0,0
F3,IAPV,NA,NA,6,42,worker,far,NA,1784250360,NA,67.23535156,0,0,0
F30,IAPV,NA,NA,8.8,5,worker,near,NA,3105817440,NA,79.46577454,0,0,0
F31,IAPV,32.227,18.436,4,5,worker,near,73744,278744,706927614.5,89.34963989,0,0,0
F32,IAPV,NA,NA,5.9,49,worker,far,NA,2610317825,NA,68.57888031,0,0,0
F33,IAPV,NA,NA,8.9,52,worker,near,NA,3511377075,NA,68.02732849,0,0,0
F34,IAPV,NA,NA,7.1,52,worker,near,NA,1702692890,NA,68.32691193,0,0,0
F35,IAPV,NA,NA,8.9,32,worker,far,NA,4924023790,NA,67.78225708,0,0,0
F36,IAPV,NA,NA,7.3,42,worker,far,NA,2127495794,NA,68.83076477,0,0,0
F37,IAPV,NA,NA,3,52,worker,near,NA,393042,NA,66.68170929,0,0,0
F38,IAPV,NA,NA,4.6,49,worker,far,NA,2056078652,NA,66.9813385,0,0,0
F39,IAPV,NA,NA,5.6,49,worker,far,NA,2038818432,NA,67.03728485,0,0,0
F4,IAPV,36.725,1.021,12.9,49,worker,far,13170.9,4861648800,7239.117962,81.51243591,0,0,0
F40,IAPV,34.383,4.605,11.8,52,worker,near,54339,2671671040,54347.85935,79.46928406,0,0,0
F41,IAPV,NA,NA,14.6,52,worker,near,NA,1592191758,NA,67.28316498,0,0,0
F44,IAPV,NA,NA,7,54,queen,near,NA,1120874230,NA,69.27820587,0,0,0
F45,IAPV,NA,NA,2.6,10,queen,far,NA,657249814,NA,68.92874146,0,0,0
F47,IAPV,36.128,1.499,1.6,49,queen,far,2398.4,148620336,43121.82776,84.40250397,0,0,0
F49,IAPV,NA,NA,2.4,52,queen,near,NA,138667161.6,NA,68.17626953,0,0,0
F51,IAPV,NA,NA,1.1,5,queen,near,NA,87321828,NA,68.52701569,0,0,0
F52,IAPV,NA,NA,4.3,47,queen,far,NA,1255377346,NA,67.62818909,0,0,0
F53,IAPV,NA,NA,7.9,10,worker,far,NA,2607981970,NA,67.58544922,0,0,0
F54,IAPV,NA,NA,3.9,56,worker,near,NA,1539160974,NA,67.28591156,0,0,0
F56,IAPV,34.745,3.649,11.8,10,worker,far,43058.2,3921223780,29341.88609,79.31554413,0,0,0
F57,IAPV,NA,NA,2.8,56,worker,near,NA,1262265900,NA,93.84660339,0,0,0
F58,IAPV,NA,NA,3.3,56,worker,near,NA,957263802,NA,68.42983246,0,0,0
F59,IAPV,NA,NA,2.6,10,worker,far,NA,40462591,NA,76.51734161,0,0,0
F6,IAPV,NA,NA,7.1,10,worker,far,NA,2417364264,NA,66.83200073,0,0,0
F60,IAPV,NA,NA,11,10,worker,far,NA,2135495670,NA,67.83041382,0,0,0
F61,IAPV,NA,NA,6.2,10,worker,far,NA,2151613280,NA,67.93026733,0,0,0
F62,IAPV,NA,NA,8.6,56,worker,near,NA,4764708740,NA,67.57627869,0,0,0
F63,IAPV,NA,NA,11.7,NA,NA,NA,NA,4067378874,NA,67.67613983,0,0,0
F64,IAPV,NA,NA,12.7,NA,NA,NA,NA,4618992032,NA,67.87507629,0,0,0
F65,IAPV,NA,NA,13,NA,NA,NA,NA,5049973500,NA,69.32320404,0,0,0
F66,IAPV,NA,NA,9.7,NA,NA,NA,NA,2838317970,NA,67.72606659,0,0,0
F67,IAPV,37,0.856,7.1,NA,NA,NA,6077.6,3612736736,4495.205827,79.40958405,0,0,0
F68,IAPV,NA,NA,15.9,NA,NA,NA,NA,5246282592,NA,79.51002502,0,0,0
F69,IAPV,39.205,0.207,6.2,NA,NA,NA,1283.4,3849674860,890.8237105,79.26034546,0,0,0
F7,IAPV,NA,NA,14.1,56,worker,near,NA,3701467140,NA,68.37942505,0,0,0
F8,IAPV,NA,NA,10.7,56,worker,near,NA,3759211740,NA,67.68314362,0,0,0
F9,IAPV,NA,NA,10.2,56,worker,near,NA,4162825020,NA,67.03423309,0,0,0
