well,ID,labID,treatment,SamplingEvent,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run,
A1,E39,39,E,3,E39-3,DWV,1.313,Amp,UNKNOWN,23.706,23.817,0.158,1730.427,1613.969,164.696,35.2228,0.993,-3.5567,91.05548,TRUE,0.142,TRUE,3,19,FALSE,105,
B1,E39,39,E,3,E39-3,DWV,1.314,Amp,UNKNOWN,23.929,23.817,0.158,1497.512,1613.969,164.696,35.2228,0.993,-3.5567,91.05548,TRUE,0.142,TRUE,3,19,FALSE,105,
E1,E39,39,E,3,E39-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.201,TRUE,3,39,TRUE,105,
F1,E39,39,E,3,E39-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.201,TRUE,3,39,TRUE,105,
G4,E40,40,E,2,E40-2,ACTIN,1.406,Amp,UNKNOWN,20.224,19.8,0.601,36289.625,49465.02,18632.822,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,15,FALSE,102,
H4,E40,40,E,2,E40-2,ACTIN,1.382,Amp,UNKNOWN,19.375,19.8,0.601,62640.414,49465.02,18632.822,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,14,FALSE,102,
C4,E40,40,E,2,E40-2,BQCV,1.309,Amp,UNKNOWN,28.653,28.184,0.663,61.364,88.133,37.858,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,24,FALSE,102,
D4,E40,40,E,2,E40-2,BQCV,1.298,Amp,UNKNOWN,27.715,28.184,0.663,114.903,88.133,37.858,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,23,FALSE,102,
A4,E40,40,E,2,E40-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,39,TRUE,102,
B4,E40,40,E,2,E40-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,39,TRUE,102,
E4,E40,40,E,2,E40-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.195,TRUE,3,39,TRUE,102,
