well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
E8,54,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E9,55,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E10,56,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E11,57,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E12,58,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
F1,59,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
F2,60,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
F3,61,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
F4,62,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
F5,63,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,TRUE,28
F6,64,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,TRUE,28
F7,65,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
F8,No Sample,IAPV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
G1,47,ACTIN,1.436,Amp,UNKNOWN,15.475,15.475,NA,767334.6,767334.6,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,11,FALSE,28
G2,48,ACTIN,1.2,Amp,UNKNOWN,16.288,16.288,NA,454987.7,454987.7,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,11,FALSE,28
G3,49,ACTIN,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.03E+10,NA,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,39,FALSE,28
G4,50,ACTIN,1.435,Amp,UNKNOWN,17.047,17.047,NA,279497.3,279497.3,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,12,FALSE,28
G5,51,ACTIN,1.444,Amp,UNKNOWN,15.837,15.837,NA,608169.1,608169.1,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,11,FALSE,28
G6,52,ACTIN,1.439,Amp,UNKNOWN,15.904,15.904,NA,582407.3,582407.3,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,11,FALSE,28
G7,53,ACTIN,1.453,Amp,UNKNOWN,16.621,16.621,NA,367431.22,367431.22,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,12,FALSE,28
G8,54,ACTIN,1.411,Amp,UNKNOWN,16.095,16.095,NA,515247.4,515247.4,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,11,FALSE,28
H1,59,ACTIN,1.449,Amp,UNKNOWN,16.977,16.977,NA,292361,292361,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,13,FALSE,28
H2,60,ACTIN,1.442,Amp,UNKNOWN,17.242,17.242,NA,246586.16,246586.16,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,13,FALSE,28
H3,61,ACTIN,1.439,Amp,UNKNOWN,17.082,17.082,NA,273299.72,273299.72,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,12,FALSE,28
H4,62,ACTIN,1.443,Amp,UNKNOWN,16.419,16.419,NA,418249.47,418249.47,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,12,FALSE,28
H5,63,ACTIN,1.429,Amp,UNKNOWN,16.167,16.167,NA,491760.88,491760.88,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,12,FALSE,28
H6,64,ACTIN,1.45,Amp,UNKNOWN,16.593,16.593,NA,374087.4,374087.4,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,12,FALSE,28
H7,65,ACTIN,1.436,Amp,UNKNOWN,16.528,16.528,NA,389998.16,389998.16,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,12,FALSE,28
H8,No Sample,ACTIN,1.042,Amp,UNKNOWN,14.447,20.455,6.361,1484939.1,511021.6,843768.3,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,9,FALSE,28
H9,No Sample,ACTIN,1.427,Amp,UNKNOWN,19.799,20.455,6.361,47692.9,511021.6,843768.3,36.5667,0.9988,-3.584,90.11565,TRUE,0.106,TRUE,3,15,FALSE,28
